Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/analytics/campus-summary,68,68,8,11.046368882352665,3.131916999997486,122.3140840000001,120.0,1.1492965094675662,1.1492965094675662,8,9,10,12,19,20,63,120,120,120,120
POST,POST /api/v1/auth/login,54,54,140.0,141.69032651851833,127.70291600000405,204.54241699999986,42.0,0.9126766398713025,0.9126766398713025,140,140,140,150,160,170,200,200,200,200,200
POST,POST /api/v1/gate/validate,491,0,3,4.262756549898232,1.373209000000486,52.61300000000002,61.0,8.298596855126103,0.0,3,4,4,4,6,9,21,27,53,53,53
POST,POST /api/v1/surveys,109,0,9,12.02740061467901,5.268207999996832,54.96283299999938,272.8256880733945,1.842254698999481,0.0,9,12,13,15,19,27,42,53,55,55,55
POST,STRESS POST /api/v1/gate/validate,4687,0,3,3.717494561553157,1.2219589999986624,47.59291699999979,61.0,79.21695205697769,0.0,3,4,4,4,5,6,8,14,39,48,48
,Aggregated,5409,122,3,5.404016982621484,1.2219589999986624,204.54241699999986,65.82066925494546,91.41977676044213,2.061973149338869,3,4,4,5,6,8,19,120,160,200,200
