Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778730572,50,POST,POST /api/v1/auth/login,1.250000,1.250000,150,160,200,200,200,200,200,200,200,200,200,7,7,150.0,162.23620828571438,133.11850000000015,204.54241699999986,42.0
1778730572,50,POST,POST /api/v1/gate/validate,4.250000,0.000000,7,18,19,21,21,48,53,53,53,53,53,38,0,9,13.763157921052592,2.6542080000000468,52.61300000000002,61.0
1778730572,50,POST,POST /api/v1/surveys,1.750000,0.000000,12,15,20,31,38,38,38,38,38,38,38,14,0,13,20.52068457142862,7.405458000000031,53.281957999999904,272.92857142857144
1778730572,50,POST,STRESS POST /api/v1/gate/validate,34.500000,0.000000,5,6,7,7,12,16,19,22,48,48,48,329,0,5,6.855911334346503,2.5323339999996364,47.59291699999979,61.0
1778730572,50,,Aggregated,42.750000,2.250000,5,6,8,10,17,21,53,140,200,200,200,393,12,5,11.180350180661572,2.5323339999996364,204.54241699999986,68.9618320610687
1778730573,50,GET,GET /api/v1/analytics/campus-summary,1.000000,1.000000,19,20,20,63,63,63,63,63,63,63,63,6,6,19,42.53246499999993,13.06654099999971,122.3140840000001,120.0
1778730573,50,POST,POST /api/v1/auth/login,1.200000,1.200000,160,170,200,200,200,200,200,200,200,200,200,8,8,150.0,163.22822387500008,133.11850000000015,204.54241699999986,42.0
1778730573,50,POST,POST /api/v1/gate/validate,5.200000,0.000000,7,11,18,19,21,22,53,53,53,53,53,47,0,7,12.487681765957424,2.6542080000000468,52.61300000000002,61.0
1778730573,50,POST,POST /api/v1/surveys,2.200000,0.000000,13,15,20,20,31,38,38,38,38,38,38,16,0,13,19.800885437500025,7.405458000000031,53.281957999999904,272.75
1778730573,50,POST,STRESS POST /api/v1/gate/validate,41.800000,0.000000,5,6,7,7,10,15,19,23,48,48,48,406,0,5,6.596237366995067,2.5323339999996364,47.59291699999979,61.0
1778730573,50,,Aggregated,51.400000,2.200000,5,6,7,9,16,21,53,140,200,200,200,483,14,5,10.647677354037256,2.5323339999996364,204.54241699999986,68.4327122153209
1778730574,50,GET,GET /api/v1/analytics/campus-summary,0.833333,0.833333,19,19,20,20,63,63,63,63,63,63,63,7,7,19,37.75408314285711,9.083792000000201,122.3140840000001,120.0
1778730574,50,POST,POST /api/v1/auth/login,1.166667,1.166667,160,170,200,200,200,200,200,200,200,200,200,8,8,150.0,163.22822387500008,133.11850000000015,204.54241699999986,42.0
1778730574,50,POST,POST /api/v1/gate/validate,5.666667,0.000000,6,9,12,18,21,22,48,53,53,53,53,56,0,7,11.26746807142854,2.6542080000000468,52.61300000000002,61.0
1778730574,50,POST,POST /api/v1/surveys,2.166667,0.000000,12,15,17,20,31,38,38,38,38,38,38,17,0,13,19.109004941176515,7.405458000000031,53.281957999999904,272.7647058823529
1778730574,50,POST,STRESS POST /api/v1/gate/validate,47.833333,0.000000,5,6,6,7,9,15,19,22,48,48,48,489,0,5,6.22408205521473,2.3724999999998886,47.59291699999979,61.0
1778730574,50,,Aggregated,57.666667,2.000000,5,6,7,8,14,20,48,130,200,200,200,577,15,5,9.652533438474874,2.3724999999998886,204.54241699999986,67.69150779896015
1778730575,50,GET,GET /api/v1/analytics/campus-summary,0.714286,0.714286,19,19,20,20,63,63,63,63,63,63,63,7,7,19,37.75408314285711,9.083792000000201,122.3140840000001,120.0
1778730575,50,POST,POST /api/v1/auth/login,1.000000,1.000000,160,170,200,200,200,200,200,200,200,200,200,8,8,150.0,163.22822387500008,133.11850000000015,204.54241699999986,42.0
1778730575,50,POST,POST /api/v1/gate/validate,6.000000,0.000000,6,7,11,12,21,21,48,53,53,53,53,65,0,6,10.246574415384597,2.6542080000000468,52.61300000000002,61.0
1778730575,50,POST,POST /api/v1/surveys,2.285714,0.000000,12,15,17,17,31,38,38,38,38,38,38,20,0,13,17.94439580000002,7.405458000000031,53.281957999999904,272.75
1778730575,50,POST,STRESS POST /api/v1/gate/validate,52.571429,0.000000,5,5,6,6,8,14,17,20,48,48,48,568,0,5,5.899593603873242,2.2860419999997106,47.59291699999979,61.0
1778730575,50,,Aggregated,62.571429,1.714286,5,6,7,7,12,19,42,120,200,200,200,668,15,5,8.901180827844309,2.2860419999997106,204.54241699999986,67.73053892215569
1778730576,50,GET,GET /api/v1/analytics/campus-summary,0.750000,0.750000,18,19,20,20,63,63,63,63,63,63,63,9,9,18,31.12978688888888,5.226375000001227,122.3140840000001,120.0
1778730576,50,POST,POST /api/v1/auth/login,1.000000,1.000000,160,170,200,200,200,200,200,200,200,200,200,8,8,150.0,163.22822387500008,133.11850000000015,204.54241699999986,42.0
