Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/analytics/campus-summary,315,315,5,7.458799834920535,2.543249999995112,113.77037500000009,120.0,2.6403252142254754,2.6403252142254754,5,6,7,8,12,15,35,52,110,110,110
POST,POST /api/v1/auth/login,120,120,140.0,141.51498119999994,127.9968750000009,527.0253329999974,41.65,1.0058381768478002,1.0058381768478002,140,140,140,140,150,160,170,190,530,530,530
POST,POST /api/v1/gate/validate,2060,0,3,3.7976046907766112,1.0734999999897354,42.59970799999735,61.0,17.266888702553903,0.0,3,3,4,4,5,6,24,32,40,43,43
POST,POST /api/v1/surveys,427,0,7,10.009090960187612,4.329125000012368,376.352292,272.88758782201404,3.5791075126167557,0.0,7,9,10,10,14,18,35,42,380,380,380
POST,STRESS POST /api/v1/gate/validate,19303,0,3,3.418814423043016,0.9937920000027134,119.4679999999999,61.0,161.79745273077572,0.0,3,3,4,4,5,6,9,15,52,120,120
,Aggregated,22225,435,3,4.383425961889769,0.9937920000027134,527.0253329999974,65.80265466816648,186.28961233701966,3.6461633910732756,3,3,4,4,5,7,14,33,140,190,530
